impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,1.00001e-06,0,0,0,0
omp1,1,0.03,10,1,9.99984e-06,0,0,0,0
omp1,6,0.03,10,1,9.8e-05,0,0,0,0
omp1,12,0.03,10,1,0.000214,0,0,0,0
omp1,24,0.03,10,1,0.000322,0,0,0,0
omp2,1,0.03,10,1,1.80001e-05,0,0,0,0
omp2,6,0.03,10,1,0.00023,0,0,0,0
omp2,12,0.03,10,1,0.000495,0,0,0,0
omp2,24,0.03,10,1,0.000912,0,0,0,0
serial,1,0.03,10,2,1.00001e-06,0,0,0,0
omp1,1,0.03,10,2,1.10001e-05,0,0,0,0
omp1,6,0.03,10,2,0.000564,0,0,0,0
omp1,12,0.03,10,2,0.000187,0,0,0,0
omp1,24,0.03,10,2,0.000595,0,0,0,0
omp2,1,0.03,10,2,1.99999e-05,0,0,0,0
omp2,6,0.03,10,2,0.000282,0,0,0,0
omp2,12,0.03,10,2,0.000619,0,0,0,0
omp2,24,0.03,10,2,0.001072,0,0,0,0
serial,1,0.03,10,3,2.00002e-06,0,0,0,0
omp1,1,0.03,10,3,1.40001e-05,0,0,0,0
omp1,6,0.03,10,3,9.8e-05,0,0,0,0
omp1,12,0.03,10,3,0.000262,0,0,0,0
omp1,24,0.03,10,3,0.000384,0,0,0,0
omp2,1,0.03,10,3,1.50001e-05,0,0,0,0
omp2,6,0.03,10,3,0.000291,0,0,0,0
omp2,12,0.03,10,3,0.000579,0,0,0,0
omp2,24,0.03,10,3,0.001041,0,0,0,0
serial,1,0.03,10,4,1.99978e-06,0,0,0,0
omp1,1,0.03,10,4,9.99984e-06,0,0,0,0
omp1,6,0.03,10,4,0.000112,0,0,0,0
omp1,12,0.03,10,4,0.000211,0,0,0,0
omp1,24,0.03,10,4,0.000334,0,0,0,0
omp2,1,0.03,10,4,1.60001e-05,0,0,0,0
omp2,6,0.03,10,4,0.00028,0,0,0,0
omp2,12,0.03,10,4,0.000603,0,0,0,0
omp2,24,0.03,10,4,0.000983,0,0,0,0
serial,1,0.03,10,5,1.00001e-06,0,0,0,0
omp1,1,0.03,10,5,1.10001e-05,0,0,0,0
omp1,6,0.03,10,5,0.000142,0,0,0,0
omp1,12,0.03,10,5,0.00019,0,0,0,0
omp1,24,0.03,10,5,0.000356,0,0,0,0
omp2,1,0.03,10,5,1.99999e-05,0,0,0,0
omp2,6,0.03,10,5,0.000328,0,0,0,0
omp2,12,0.03,10,5,0.000576,0,0,0,0
omp2,24,0.03,10,5,0.001091,0,0,0,0
serial,1,0.03,10,6,1.00001e-06,0,0,0,0
omp1,1,0.03,10,6,1.10001e-05,0,0,0,0
omp1,6,0.03,10,6,0.000129,0,0,0,0
omp1,12,0.03,10,6,0.000247,0,0,0,0
omp1,24,0.03,10,6,0.000352,0,0,0,0
omp2,1,0.03,10,6,2.19999e-05,0,0,0,0
omp2,6,0.03,10,6,0.000262,0,0,0,0
omp2,12,0.03,10,6,0.000597,0,0,0,0
omp2,24,0.03,10,6,0.000977,0,0,0,0
serial,1,0.03,10,7,2.00002e-06,0,0,0,0
omp1,1,0.03,10,7,8.99984e-06,0,0,0,0
omp1,6,0.03,10,7,9.99998e-05,0,0,0,0
omp1,12,0.03,10,7,0.000214,0,0,0,0
omp1,24,0.03,10,7,0.000361,0,0,0,0
omp2,1,0.03,10,7,1.89999e-05,0,0,0,0
omp2,6,0.03,10,7,0.000254,0,0,0,0
omp2,12,0.03,10,7,0.000558,0,0,0,0
omp2,24,0.03,10,7,0.000975,0,0,0,0
serial,1,0.03,10,8,1.00001e-06,0,0,0,0
omp1,1,0.03,10,8,1.20001e-05,0,0,0,0
omp1,6,0.03,10,8,9.99998e-05,0,0,0,0
omp1,12,0.03,10,8,0.000181,0,0,0,0
omp1,24,0.03,10,8,0.000355,0,0,0,0
omp2,1,0.03,10,8,1.99999e-05,0,0,0,0
omp2,6,0.03,10,8,0.000265,0,0,0,0
omp2,12,0.03,10,8,0.000583,0,0,0,0
omp2,24,0.03,10,8,0.000955,0,0,0,0
serial,1,0.03,10,9,1.00001e-06,0,0,0,0
omp1,1,0.03,10,9,1.20001e-05,0,0,0,0
omp1,6,0.03,10,9,0.000114,0,0,0,0
omp1,12,0.03,10,9,0.000208,0,0,0,0
omp1,24,0.03,10,9,0.000344,0,0,0,0
omp2,1,0.03,10,9,1.49999e-05,0,0,0,0
omp2,6,0.03,10,9,0.000265,0,0,0,0
omp2,12,0.03,10,9,0.00054,0,0,0,0
omp2,24,0.03,10,9,0.000995,0,0,0,0
serial,1,0.03,10,10,1.00001e-06,0,0,0,0
omp1,1,0.03,10,10,1.20001e-05,0,0,0,0
omp1,6,0.03,10,10,9.4e-05,0,0,0,0
omp1,12,0.03,10,10,0.000205,0,0,0,0
omp1,24,0.03,10,10,0.000267,0,0,0,0
omp2,1,0.03,10,10,2.00002e-05,0,0,0,0
omp2,6,0.03,10,10,0.000248,0,0,0,0
omp2,12,0.03,10,10,0.000572,0,0,0,0
omp2,24,0.03,10,10,0.000934,0,0,0,0
