impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,39.2397,2,159896,76,28
omp1,1,0.03,10,1,36.6607,2,159896,76,28
omp1,4,0.03,10,1,11.9134,2,159896,76,28
omp1,8,0.03,10,1,9.57298,2,159896,76,28
omp1,16,0.03,10,1,9.70667,2,159896,76,28
omp2,1,0.03,10,1,11.1513,2,159896,76,28
omp2,4,0.03,10,1,4.67269,2,159896,76,28
omp2,8,0.03,10,1,4.28142,2,159896,76,28
omp2,16,0.03,10,1,4.37809,2,159896,76,28
serial,1,0.03,10,2,40.0436,2,159896,76,28
omp1,1,0.03,10,2,36.8653,2,159896,76,28
omp1,4,0.03,10,2,12.5912,2,159896,76,28
omp1,8,0.03,10,2,9.92731,2,159896,76,28
omp1,16,0.03,10,2,10.4502,2,159896,76,28
omp2,1,0.03,10,2,11.5816,2,159896,76,28
omp2,4,0.03,10,2,4.91563,2,159896,76,28
omp2,8,0.03,10,2,4.23016,2,159896,76,28
omp2,16,0.03,10,2,4.19189,2,159896,76,28
serial,1,0.03,10,3,40.9264,2,159896,76,28
omp1,1,0.03,10,3,38.7431,2,159896,76,28
omp1,4,0.03,10,3,13.8723,2,159896,76,28
omp1,8,0.03,10,3,10.8346,2,159896,76,28
omp1,16,0.03,10,3,12.2938,2,159896,76,28
omp2,1,0.03,10,3,11.5163,2,159896,76,28
omp2,4,0.03,10,3,5.58705,2,159896,76,28
omp2,8,0.03,10,3,4.56004,2,159896,76,28
omp2,16,0.03,10,3,4.31707,2,159896,76,28
serial,1,0.03,10,4,39.1673,2,159896,76,28
omp1,1,0.03,10,4,37.7884,2,159896,76,28
omp1,4,0.03,10,4,11.8241,2,159896,76,28
omp1,8,0.03,10,4,9.56536,2,159896,76,28
omp1,16,0.03,10,4,9.47172,2,159896,76,28
omp2,1,0.03,10,4,10.2455,2,159896,76,28
omp2,4,0.03,10,4,4.52662,2,159896,76,28
omp2,8,0.03,10,4,3.83003,2,159896,76,28
omp2,16,0.03,10,4,3.80718,2,159896,76,28
serial,1,0.03,10,5,39.0903,2,159896,76,28
omp1,1,0.03,10,5,36.4889,2,159896,76,28
omp1,4,0.03,10,5,11.6955,2,159896,76,28
omp1,8,0.03,10,5,9.20771,2,159896,76,28
omp1,16,0.03,10,5,9.30761,2,159896,76,28
omp2,1,0.03,10,5,10.1426,2,159896,76,28
omp2,4,0.03,10,5,4.39365,2,159896,76,28
omp2,8,0.03,10,5,3.85403,2,159896,76,28
omp2,16,0.03,10,5,3.8627,2,159896,76,28
serial,1,0.03,10,6,39.7241,2,159896,76,28
omp1,1,0.03,10,6,36.4473,2,159896,76,28
omp1,4,0.03,10,6,11.6741,2,159896,76,28
omp1,8,0.03,10,6,10.3839,2,159896,76,28
omp1,16,0.03,10,6,9.46489,2,159896,76,28
omp2,1,0.03,10,6,10.1287,2,159896,76,28
omp2,4,0.03,10,6,4.39659,2,159896,76,28
omp2,8,0.03,10,6,3.85697,2,159896,76,28
omp2,16,0.03,10,6,3.86235,2,159896,76,28
serial,1,0.03,10,7,38.7248,2,159896,76,28
omp1,1,0.03,10,7,39.1618,2,159896,76,28
omp1,4,0.03,10,7,12.3884,2,159896,76,28
omp1,8,0.03,10,7,9.47187,2,159896,76,28
omp1,16,0.03,10,7,9.85308,2,159896,76,28
omp2,1,0.03,10,7,10.3406,2,159896,76,28
omp2,4,0.03,10,7,4.48465,2,159896,76,28
omp2,8,0.03,10,7,4.61117,2,159896,76,28
omp2,16,0.03,10,7,4.01328,2,159896,76,28
serial,1,0.03,10,8,39.0084,2,159896,76,28
omp1,1,0.03,10,8,36.7146,2,159896,76,28
omp1,4,0.03,10,8,13.1184,2,159896,76,28
omp1,8,0.03,10,8,9.48816,2,159896,76,28
omp1,16,0.03,10,8,10.0994,2,159896,76,28
omp2,1,0.03,10,8,12.6498,2,159896,76,28
omp2,4,0.03,10,8,4.79735,2,159896,76,28
omp2,8,0.03,10,8,5.27176,2,159896,76,28
omp2,16,0.03,10,8,4.47532,2,159896,76,28
serial,1,0.03,10,9,39.9148,2,159896,76,28
omp1,1,0.03,10,9,37.2034,2,159896,76,28
omp1,4,0.03,10,9,13.1983,2,159896,76,28
omp1,8,0.03,10,9,12.6462,2,159896,76,28
omp1,16,0.03,10,9,12.0185,2,159896,76,28
omp2,1,0.03,10,9,14.4416,2,159896,76,28
omp2,4,0.03,10,9,24.2284,2,159896,76,28
omp2,8,0.03,10,9,5.54021,2,159896,76,28
omp2,16,0.03,10,9,4.24941,2,159896,76,28
serial,1,0.03,10,10,44.5804,2,159896,76,28
omp1,1,0.03,10,10,39.5229,2,159896,76,28
omp1,4,0.03,10,10,14.3648,2,159896,76,28
omp1,8,0.03,10,10,11.3331,2,159896,76,28
omp1,16,0.03,10,10,10.3144,2,159896,76,28
omp2,1,0.03,10,10,10.8074,2,159896,76,28
omp2,4,0.03,10,10,5.38325,2,159896,76,28
omp2,8,0.03,10,10,4.45703,2,159896,76,28
omp2,16,0.03,10,10,4.52011,2,159896,76,28
