impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,1.19796,300,1335,3344,25321
serial,1,0.03,10,2,1.20501,300,1335,3344,25321
serial,1,0.03,10,3,1.19686,300,1335,3344,25321
omp1,1,0.03,10,1,1.7329,300,1335,3344,25321
omp1,1,0.03,10,2,1.73574,300,1335,3344,25321
omp1,1,0.03,10,3,1.76252,300,1335,3344,25321
omp1,2,0.03,10,1,0.868054,300,1335,3344,25321
omp1,2,0.03,10,2,0.874987,300,1335,3344,25321
omp1,2,0.03,10,3,0.86808,300,1335,3344,25321
omp1,4,0.03,10,1,0.436556,300,1335,3344,25321
omp1,4,0.03,10,2,0.436521,300,1335,3344,25321
omp1,4,0.03,10,3,0.445665,300,1335,3344,25321
omp1,8,0.03,10,1,0.259489,300,1335,3344,25321
omp1,8,0.03,10,2,0.255747,300,1335,3344,25321
omp1,8,0.03,10,3,0.275286,300,1335,3344,25321
omp1,16,0.03,10,1,0.221359,300,1335,3344,25321
omp1,16,0.03,10,2,0.231251,300,1335,3344,25321
omp1,16,0.03,10,3,0.231077,300,1335,3344,25321
omp2,1,0.03,10,1,0.024311,300,1335,3344,25321
omp2,1,0.03,10,2,0.023703,300,1335,3344,25321
omp2,1,0.03,10,3,0.02391,300,1335,3344,25321
omp2,2,0.03,10,1,0.013793,300,1335,3344,25321
omp2,2,0.03,10,2,0.020206,300,1335,3344,25321
omp2,2,0.03,10,3,0.013804,300,1335,3344,25321
omp2,4,0.03,10,1,0.009343,300,1335,3344,25321
omp2,4,0.03,10,2,0.009423,300,1335,3344,25321
omp2,4,0.03,10,3,0.009068,300,1335,3344,25321
omp2,8,0.03,10,1,0.007397,300,1335,3344,25321
omp2,8,0.03,10,2,0.008291,300,1335,3344,25321
omp2,8,0.03,10,3,0.008457,300,1335,3344,25321
omp2,16,0.03,10,1,0.007343,300,1335,3344,25321
omp2,16,0.03,10,2,0.008017,300,1335,3344,25321
omp2,16,0.03,10,3,0.007201,300,1335,3344,25321
